 Lon(deg)   Lat(deg)   z(km)  DVp(%)  p(km/s) s(km/s)  VpVs   g/cm^3  P-ratio
  103.2500    1.2500  -30.00   1.529    6.60    3.82  1.7293   2.858    0.25
  103.2500    1.0000  -30.00   0.040    6.50    3.77  1.7231   2.834    0.25
  103.5000    1.7500  -30.00  -2.599    6.33    3.70  1.7118   2.792    0.25
  103.5000    1.5000  -30.00   3.000    6.69    3.86  1.7352   2.883    0.26
  103.5000    1.2500  -30.00   3.000    6.69    3.86  1.7352   2.883    0.26
  103.5000    1.0000  -30.00   0.538    6.53    3.79  1.7252   2.842    0.25
  103.7500    1.7500  -30.00   0.378    6.52    3.78  1.7246   2.839    0.25
  103.7500    1.5000  -30.00   1.561    6.60    3.82  1.7295   2.859    0.25
  103.7500    1.2500  -30.00   1.817    6.62    3.82  1.7305   2.863    0.25
  103.7500    1.0000  -30.00   0.266    6.52    3.78  1.7241   2.837    0.25
>
  100.0000    5.2500  -35.00   0.655    8.09    4.69  1.7249   3.324    0.28
  100.0000    5.0000  -35.00   1.923    8.19    4.78  1.7129   3.361    0.28
  100.0000    4.7500  -35.00  -1.191    7.94    4.57  1.7391   3.271    0.28
