YYYY/MM/DD HR:MI:SS.00  Z(km)  EVENT-ID STN   ARRIV-ID  XD(km)   BAZI   RCAL  REIN
2005/03/29 10:51:21.68  10.00   8295957 KULM     67287  432.92  203.78 -0.88 -0.20   239
2005/03/29 10:51:21.68  10.00   8295957 KGM      73203  472.79  266.06  0.11  0.60   240
2005/03/29 12:44:06.20  27.00   7486751 IPM      73203  556.52  227.75  0.97  2.20   241
2005/03/29 12:44:06.20  27.00   7486751 KULM     67287  593.64  218.55 -0.17  1.10   242
2005/03/29 12:44:06.20  27.00   7486751 KGM      73203  675.15  261.44  0.34  1.30   243
2005/03/29 13:35:53.88  20.10   7486771 IPM      73203  568.08  240.71  0.31  1.10   244
2005/03/29 13:35:53.88  20.10   7486771 KULM     67287  583.90  230.94 -0.31  0.60   245
2005/03/29 13:35:53.88  20.10   7486771 KGM      73203  751.41  269.66  1.07  1.60   246
2005/03/29 14:15:50.14  25.00   8155405 IPM      73203  578.62  228.16  0.91  2.10   247
2005/03/29 14:15:50.14  25.00   8155405 KULM     67287  614.82  219.26 -3.18 -2.00   248
2005/03/29 14:15:50.14  25.00   8155405 KGM      73203  695.90  260.71  0.09  0.90   249
2005/03/29 14:24:22.66  17.40   7486791 IPM      73203  563.28  231.66  0.44  1.30   250
2005/03/29 14:24:22.66  17.40   7486791 KULM     67287  594.12  222.30 -0.52  0.40   251
2005/03/29 14:24:22.66  17.40   7486791 KGM      73203  701.69  263.80  0.47  1.00   252
2005/03/29 14:43:30.35  24.60   7486801 IPM      73203  563.97  225.05  1.75  2.90   253
2005/03/29 14:43:30.35  24.60   7486801 KULM     67288  605.16  216.17 -0.01  1.20   254
2005/03/29 14:43:30.35  24.60   7486801 KGM      73203  666.53  259.21  2.00  2.80   255
2005/03/29 15:48:31.43  17.50   7486814 IPM      73203  583.15  228.85  0.41  1.20   256
2005/03/29 15:48:31.43  17.50   7486814 KULM     67288  618.22  219.96 -1.11 -0.20   257
2005/03/29 15:48:31.43  17.50   7486814 KGM      73203  703.46  260.99  0.53  1.10   258
2005/03/29 17:20:50.09  33.00   7486852 IPM      73203  492.70  244.31  0.45  2.00   259
2005/03/29 17:20:50.09  33.00   7486852 KULM     67289  503.74  232.94 -0.30  1.30   260
2005/03/29 17:20:50.09  33.00   7486852 KGM      73203  702.42  274.87  1.30  2.50   261
2005/03/29 17:27:16.03  27.00   8296025 IPM      73203  574.80  224.45  0.48  1.80   262
2005/03/29 17:27:16.03  27.00   8296025 KULM     67289  616.79  215.77 -1.57 -0.30   263
2005/03/29 17:27:16.03  27.00   8296025 KGM      73203  672.16  258.27  1.00  2.00   264
2005/03/29 17:40:14.70  25.00   7486859 IPM      73203  568.50  229.63  0.61  1.80   265
2005/03/29 17:40:14.70  25.00   7486859 KULM     67289  602.52  220.47 -1.08  0.10   266
2005/03/29 17:40:14.70  25.00   7486859 KGM      73203  695.29  262.18  0.78  1.60   267
2005/03/29 19:04:03.07  10.00   8296037 IPM      73203  395.08  215.11 -0.54 -0.10   268
